Name,SD1,SD2,C-1,C-2,C-N-1,C-N-2,N-1,N-2,CS1,CS2,HS1,HS2,OSMO1,OSMO2,OXI1,OXI2,PH1,PH2,UV1,UV2
aaaD,3793.6,4668.88,6458.03,4454.15,3958.56,5013.3,5114.39,2781.51,3875.04,4297.09,3593.96,5450.81,3259.29,3707.24,4115.19,3864.26,3154.24,2009.79,3690.29,4587.83
aaaE,6006.2,8089.205,3974.385,6045.17,7254.175,7540.42,7077.705,6873.405,4987.04,6719.71,7362.27,7564.025,7719.49,5649.365,7910.42,6834.315,5838.865,5621.96,5754.33,6982.345
aaeA,3901.81,2599.19,3523.845,3702.555,3409.785,2992.45,3871.1,3863.64,4078.9,3808.1,3169.92,3538.16,2481.49,2967.565,3512.455,3045.48,3351.745,4557.435,3811.175,3649.595
aaeB,3623.44,3544.18,3299.2,4213.27,4025.39,3410.95,4170.05,4454.32,3947.62,4061.26,3730.14,3023.29,4286.78,3624.84,3433.64,4158.37,2617.9,3808.24,3985.02,3871.89
aaeR,4914.055,5957.205,4391.555,6574.6,5095.75,5789.225,6016.64,6639.81,4354.99,5097.01,6728.915,5982.14,6825.145,6197.075,6799.605,5485.55,4927.625,6542.565,6926.775,4889.49
aaeX,5030.25,3632.83,2501.06,5731.27,2914.72,5076.26,4391.65,5254.78,5139.22,4523.99,5416.36,5357.64,4768.77,5142.92,6025.79,5126.4,5165.09,5074.23,5154.87,4004.33
aas,4820.53,4331.78,3301.69,4043.39,4070.93,4218.36,4531.38,4602.89,5278.77,4237.21,3787.83,4775.99,4833.95,3621.4,3974.33,3897.71,4514.42,5079.15,5537.53,4543.24
aat,5246.08,7882.82,3729.55,8058.93,8976.48,10388.29,9034.67,6992.85,5978.35,7339.37,8498.17,9063.56,8160.58,7868.98,10289.56,7883.28,6647.26,4184.05,5486.37,9162.16
abgA,3826.2,3538.47,3150.96,3049.93,3685.61,3876.99,3827.15,3423.95,3494.26,2658.17,3130.34,3334.61,3468.71,2974.7,3085.75,2693.46,3417.41,2849.52,4183.94,3501.79
abgB,4000.89,3747.14,2458.18,5070.71,3803.2,4174.28,3827.15,4389.71,3407.8,3838.95,4386.76,4027.8,4226.32,3632.66,3238.98,3479.11,2826.24,5787.9,3235.02,3538.36
abgR,5538.07,4872,4251.06,4432.76,5447.07,5170.4,4254.94,5219.65,4449.28,4550.86,4755.39,4689.47,4623.61,4072.86,4400.29,4511.57,3811.43,6454.17,5082.93,5676.48
